47125,220069,"47161,47083,47043,47021,47147"
47079,32199,"47005,47183,47161,47017"
47043,54315,"47083,47085,47125,47021,47187,47081"
47059,70152,"47063,47029,47171,47073,47179"
47171,17928,"47059,47019,47179"
47031,57889,"47061,47177,47149,47015,47051,47003,47127"
47135,8366,"47005,47085,47101,47081,47039,47181"
47187,247726,"47149,47117,47119,47043,47021,47037,47081"
47035,61145,"47143,47129,47145,47049,47185,47007,47141,47175"
47093,478971,"47057,47173,47009,47105,47155,47089,47001,47145"
47029,35999,"47063,47059,47155,47089"
47067,6662,"47073,47057,47025"
47071,26831,"47109,47023,47039,47077,47181"
47025,32043,"47067,47057,47173,47013"
47143,32870,"47035,47121,47145,47065,47007"
47133,22511,"47049,47137,47027,47087,47141"
47131,30787,"47053,47045,47095,47183"
47147,72803,"47165,47125,47021,47037"
47189,147737,"47149,47169,47015,47159,47165,47041,47037"
47057,23527,"47063,47067,47073,47173,47025,47093,47089"
47011,108620,"47121,47139,47107,47065"
47157,929744,"47047,47167"
47121,12758,"47143,47011,47107,47145,47065"
47103,35319,"47051,47117,47003,47127,47055"
47037,715884,"47149,47189,47165,47021,47187,47147"
47007,14913,"47035,47143,47065,47175,47153"
47183,32902,"47053,47131,47079,47017"
47117,34318,"47149,47103,47119,47003,47055,47187"
47091,17948,"47163,47019"
47155,98380,"47029,47009,47093,47089"
47139,17544,"47123,47011,47107"
47077,27842,"47017,47071,47023,47039,47113"
47109,25866,"47071,47023,47069"
47049,18489,"47035,47129,47133,47151,47137,47141"
47005,15864,"47079,47161,47017,47083,47085,47039,47135"
47137,5001,"47133,47049,47151,47027"
47051,42774,"47061,47115,47103,47031,47127"
47167,60970,"47047,47157,47075,47097"
47001,77123,"47173,47013,47093,47129,47145,47151"
47015,14506,"47177,47149,47189,47041,47031"
47033,13911,"47053,47045,47113,47075,47097"
47021,41072,"47043,47125,47187,47147,47037"
47113,98823,"47053,47017,47023,47077,47069,47075,47033"
47045,36801,"47053,47095,47131,47097,47033"
47053,50429,"47045,47131,47183,47017,47113,47033"
47151,21850,"47013,47001,47129,47049,47137"
47039,11435,"47005,47017,47071,47077,47135,47181"
47119,100974,"47117,47101,47099,47055,47187,47081"
47047,41990,"47069,47157,47167,47075"
47063,64499,"47029,47059,47073,47057,47089"
47101,12582,"47119,47099,47081,47135,47181"
47065,366207,"47143,47121,47011,47115,47007,47153"
47115,28837,"47061,47065,47153,47051"
47185,27351,"47035,47141,47177,47175,47041"
47129,21035,"47001,47035,47145,47049,47151"
47013,39272,"47173,47025,47001,47151"
47123,46250,"47009,47105,47139,47107"
47149,341486,"47189,47015,47117,47031,47003,47187,47037"
47159,19904,"47087,47141,47189,47169,47041,47111"
47169,11615,"47189,47159,47165,47111"
47165,196281,"47189,47169,47111,47147,47037"
47061,13529,"47115,47177,47153,47051,47031"
47003,50237,"47149,47103,47117,47031,47127"
47027,7581,"47133,47137,47087,47111"
47097,25143,"47045,47167,47075,47033"
47105,54886,"47123,47009,47093,47107,47145"
47041,20080,"47185,47141,47177,47189,47015,47159"
47081,24925,"47085,47119,47101,47043,47187,47135"
47141,79854,"47035,47133,47049,47087,47185,47159,47041"
47177,40953,"47061,47185,47175,47153,47015,47041,47031"
47095,7005,"47045,47131"
47089,54683,"47063,47029,47057,47155,47093"
47075,17864,"47113,47047,47069,47167,47097,47033"
47099,44159,"47119,47101,47055,47181"
47073,56721,"47063,47067,47059,47163,47179,47057"
47173,19802,"47057,47013,47025,47093,47001"
47009,135280,"47123,47105,47155,47093"
47023,17341,"47109,47071,47077,47113,47069"
47087,11617,"47133,47027,47141,47159,47111"
47127,6461,"47051,47103,47031,47003"
47163,158163,"47091,47073,47019,47179"
47019,56356,"47171,47091,47163,47179"
47179,133001,"47059,47171,47073,47163,47019"
47161,13657,"47005,47079,47083,47125"
47111,25216,"47027,47087,47169,47159,47165"
47069,25462,"47109,47023,47113,47047,47075"
47017,28440,"47053,47005,47183,47079,47039,47077,47113"
47181,16232,"47101,47099,47071,47039,47135"
47107,53276,"47123,47105,47121,47011,47139,47145"
47175,6168,"47035,47185,47007,47177,47153"
47083,8283,"47005,47161,47085,47043,47125"
47055,30346,"47103,47117,47119,47099"
47085,18990,"47005,47083,47043,47081,47135"
47153,15826,"47061,47115,47065,47007,47177,47175"
47145,53404,"47105,47093,47001,47035,47143,47121,47129,47107"
