36029,954236,"36063,36009,36121,36037,36013"
36079,97668,"36071,36027,36087,36119"
36057,49532,"36077,36043,36091,36035,36095,36093"
36105,78624,"36025,36071,36111"
36073,40343,"36063,36037,36055"
36065,232125,"36077,36043,36053,36049,36075"
36009,77042,"36029,36121,36013,36003"
36123,24774,"36099,36101,36097,36069"
36107,48455,"36007,36109,36023,36015"
36055,759443,"36117,36069,36073,36037,36051"
36095,29714,"36025,36077,36057,36001,36093,36039"
36007,198683,"36017,36025,36107,36023"
36083,161130,"36091,36115,36021,36001"
36099,33814,"36011,36109,36117,36123,36097,36069"
36081,2405464,"36047,36061,36005,36059,36085"
36037,58388,"36029,36063,36121,36073,36055,36051"
36117,91283,"36011,36099,36069,36055"
36063,212666,"36029,36073,36037"
36047,2736074,"36081,36061,36085"
36015,84148,"36109,36107,36101,36097"
36121,40531,"36029,36009,36037,36051,36003"
36061,1694251,"36047,36081,36005"
36021,61570,"36027,36111,36083,36039"
36013,127657,"36029,36009"
36033,47555,"36089,36041,36031,36019"
36067,476516,"36053,36011,36075,36023"
36017,47220,"36007,36025,36077,36053,36023"
36035,53324,"36043,36057,36091,36041"
36087,338329,"36079,36071,36119"
36051,61834,"36101,36069,36121,36037,36055,36003"
36025,44308,"36007,36017,36077,36105,36111,36095,36039"
36071,401310,"36079,36105,36027,36111,36087"
36093,158061,"36057,36091,36095,36001"
36005,1472654,"36081,36061,36059,36119"
36101,93584,"36123,36015,36097,36069,36051,36003"
36091,235509,"36057,36035,36041,36113,36115,36001,36083,36093"
36003,46456,"36101,36009,36121,36051"
36075,117525,"36065,36053,36049,36011,36067,36045"
36111,181851,"36025,36071,36105,36027,36021,36039"
36089,108505,"36043,36049,36041,36033,36045"
36097,17898,"36109,36123,36099,36015,36101"
36031,37381,"36041,36033,36113,36019,36115"
36103,1525920,"36059"
36041,5107,"36089,36043,36091,36035,36031,36033,36113"
36027,295911,"36079,36071,36111,36021"
36077,58524,"36017,36065,36025,36043,36053,36057,36095"
36109,105740,"36011,36107,36023,36099,36015,36097"
36001,314848,"36091,36095,36083,36093,36039"
36011,76248,"36109,36075,36067,36045,36023,36117,36099"
36039,47931,"36025,36111,36021,36095,36001"
36043,60139,"36065,36089,36077,36049,36057,36035,36041"
36113,65737,"36091,36041,36031,36115"
36045,116721,"36089,36049,36011,36075"
36019,79843,"36031,36033"
36059,1395774,"36081,36005,36103,36119"
36053,68016,"36017,36065,36077,36075,36067,36023"
36115,61302,"36091,36031,36113,36083"
36119,1004457,"36079,36005,36087,36059"
36049,26582,"36065,36089,36043,36075,36045"
36069,112458,"36117,36123,36099,36101,36055,36051"
36023,46809,"36007,36017,36053,36011,36109,36107,36067"
36085,495747,"36047,36081"
