56025,79955,"56019,56009,56007,56013,56043"
56021,100512,"56001,56031,56015"
56031,8605,"56001,56009,56021,56027,56015"
56045,6838,"56009,56005,56027,56011"
56001,37066,"56009,56007,56031,56021"
56029,29624,"56039,56013,56003,56017,56043"
56019,8447,"56033,56025,56009,56005,56003,56043"
56033,30921,"56019,56005,56003"
56027,2467,"56009,56031,56045,56015"
56039,23331,"56029,56023,56035,56013"
56035,8728,"56039,56023,56013,56037"
56015,12498,"56031,56021,56027"
56023,19581,"56039,56041,56035,56037"
56013,39234,"56025,56007,56029,56039,56035,56017,56043,56037"
56041,20450,"56023,56037"
56003,11521,"56033,56019,56029,56043"
56017,4621,"56029,56013,56043"
56043,7685,"56025,56019,56029,56013,56003,56017"
56009,13751,"56025,56019,56001,56007,56005,56031,56045,56027"
56037,42272,"56007,56023,56041,56035,56013"
56011,7181,"56005,56045"
56007,14537,"56025,56001,56009,56013,56037"
56005,47026,"56033,56019,56009,56045,56011"
